东京教父, 今敏 Satoshi Kon, 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume..., 2003, 9.0, 277147
牯岭街少年杀人事件, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张..., 1991, 8.9, 352903
魔女宅急便, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re..., 1989, 8.7, 510762
岁月神偷, 罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍..., 2010, 8.7, 604977
忠犬八公物语, 神山征二郎 Seijirô Kôyama, 仲代达矢 Tatsuya Nakadai /..., 1987, 9.2, 213442
荒蛮故事, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío..., 2014, 8.7, 502501
遗愿清单, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根..., 2007, 8.7, 519448
大佛普拉斯, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh..., 2017, 8.7, 534772
贫民窟的百万富翁, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan, 戴夫..., 2008, 8.6, 794675
芙蓉镇, 谢晋 Jin Xie, 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石..., 1987, 9.3, 177080
源代码, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ..., 2011, 8.6, 904950
疯狂的麦克斯4：狂暴之路, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy / 查理兹·塞..., 2015, 8.7, 602301
你看起来好像很好吃, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi / 爱河..., 2010, 8.9, 365436
东邪西毒, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 林青霞 Brigitte..., 1994, 8.6, 622629
可可西里, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L..., 2004, 8.9, 336253
爆裂鼓手, 达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller /..., 2014, 8.6, 670722
城市之光, 查理·卓别林 Charles Chaplin, 查理·卓别林 Charles Chaplin ..., 1931, 9.3, 166053
波西米亚狂想曲, 布莱恩·辛格 Bryan Singer, 拉米·马雷克 Rami Malek / 本·哈..., 2018, 8.6, 671779
花束般的恋爱, 土井裕泰 Nobuhiro Doi, 菅田将晖 Masaki Suda / 有村架纯 Kasu..., 2021, 8.6, 782186
机器人之梦, 巴勃罗·贝格尔 Pablo Berger, 伊万·拉班达 Ivan Labanda / 阿..., 2023, 9.1, 365996
爱乐之城, 达米恩·查泽雷 Damien Chazelle, 瑞恩·高斯林 Ryan Gosling /..., 2016, 8.4, 1060499
黑天鹅, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie..., 2010, 8.6, 830607
白日梦想家, 本·斯蒂勒 Ben Stiller, 本·斯蒂勒 Ben Stiller / 克里斯汀·..., 2013, 8.6, 611190
青蛇, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ..., 1993, 8.6, 577719
哈利·波特与死亡圣器(上), 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe..., 2010, 8.6, 671593
终结者2：审判日, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz..., 1991, 8.8, 373229
初恋这件小事, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010, 布拉德·皮特 Brad Pitt / ..., 2009, 8.7, 537810
新龙门客栈, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ..., 1992, 8.7, 493781
雨人, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ..., 1988, 8.7, 434830
人工智能, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley..., 2001, 8.7, 489125
虎口脱险, 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès..., 1966, 8.9, 286687
崖上的波妞, 宫崎骏 Hayao Miyazaki, 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir..., 2008, 8.6, 557988
大红灯笼高高挂, 张艺谋 Yimou Zhang, 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛..., 1991, 8.8, 350519
真爱至上, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 连姆..., 2003, 8.5, 791317
千钧一发, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛..., 1997, 8.8, 336169
罗生门, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune / 京町子 ..., 1950, 8.8, 348328
恋恋笔记本, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling /..., 2004, 8.5, 731894
彗星来的那一夜, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em..., 2013, 8.6, 660540
哈利·波特与凤凰社, 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe..., 2007, 8.5, 670527
海边的曼彻斯特, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle..., 2016, 8.6, 628449
火星救援, 雷德利·斯科特 Ridley Scott, 马特·达蒙 Matt Damon / 杰西卡..., 2015, 8.5, 809215
黑客帝国2：重装上阵, 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski, 雅各布·特伦布莱 Jacob Tr..., 2017, 8.6, 589620
萤火虫之墓, 高畑勋 Isao Takahata, 辰己努 / 白石绫乃 / 志乃原良子, 1988, 8.7, 431590
战争之王, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage /..., 2005, 8.7, 405115
千年女优, 今敏 Satoshi Kon, 庄司美代子 Miyoko Shôji / 小山茉美 Mam..., 2001, 8.8, 307670
步履不停, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu..., 2008, 8.8, 313346
谍影重重2, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ..., 2004, 8.7, 388569
血钻, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ..., 2006, 8.7, 412947
蜘蛛侠：平行宇宙, 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey, 田中敦子 Atsuko Tanaka / 大冢明夫 Akio..., 1995, 9.0, 204952
魂断蓝桥, 茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh / 罗伯特·..., 1940, 8.8, 303423
冰雪奇缘, 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee, 克里斯汀..., 2013, 8.5, 789808
房间, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson..., 2015, 8.8, 393546
隐藏人物, 特奥多尔·梅尔菲 Theodore Melfi, 塔拉吉·P·汉森 Taraji P. ..., 2016, 8.9, 259042
谍影重重, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon / 弗兰卡·波坦..., 2002, 8.6, 474245
